sex,education,year,value
Male,0,2022,1907881
Male,1,2022,1999781
Male,2,2022,2226921
Male,3,2022,2424970
Male,4,2022,3161522
Male,5,2022,3196629
Male,6,2022,4816005
Male,7,2022,5777673
Male,0,2021,1714717
Male,1,2021,1711934
Male,2,2021,1924293
Male,3,2021,2164689
Male,4,2021,2905076
Male,5,2021,2897700
Male,6,2021,4243201
Male,7,2021,4838679
Male,0,2020,1709336
Male,1,2020,1721463
Male,2,2020,1924217
Male,3,2020,2166813
Male,4,2020,2947377
Male,5,2020,2896447
Male,6,2020,4296813
Male,7,2020,5042099
Male,0,2019,1575795
Male,1,2019,1889469
Male,2,2019,2094081
Male,3,2019,2315743
Male,4,2019,3150654
Male,5,2019,3090646
Male,6,2019,4562365
Male,7,2019,5458706
Male,0,2018,1457000
Male,1,2018,1828742
Male,2,2018,2013827
Male,3,2018,2199481
Male,4,2018,3004302
Male,5,2018,2960758
Male,6,2018,4503389
Male,7,2018,5391212
Male,0,2017,1628602
Male,1,2017,1674091
Male,2,2017,1885657
Male,3,2017,2093993
Male,4,2017,2926872
Male,5,2017,2888249
Male,6,2017,4281327
Male,7,2017,5371427
Male,0,2016,1709979
Male,1,2016,1632340
Male,2,2016,1758684
Male,3,2016,1901826
Male,4,2016,2626243
Male,5,2016,2650143
Male,6,2016,3624297
Male,7,2016,5127886
Female,0,2022,967848
Female,1,2022,1092116
Female,2,2022,1358719
Female,3,2022,1679326
Female,4,2022,2204700
Female,5,2022,2393774
Female,6,2022,3325149
Female,7,2022,3782977
Female,0,2021,868000
Female,1,2021,990510
Female,2,2021,1202961
Female,3,2021,1563353
Female,4,2021,2006474
Female,5,2021,2200699
Female,6,2021,2908143
Female,7,2021,3416063
Female,0,2020,911057
Female,1,2020,971161
Female,2,2020,1200136
Female,3,2020,1542276
Female,4,2020,2064207
Female,5,2020,2163206
Female,6,2020,3017279
Female,7,2020,3461141
Female,0,2019,1001107
Female,1,2019,1119138
Female,2,2019,1316057
Female,3,2019,1650447
Female,4,2019,2155661
Female,5,2019,2344423
Female,6,2019,3088491
Female,7,2019,3647258
Female,0,2018,889766
Female,1,2018,1028475
Female,2,2018,1287346
Female,3,2018,1592421
Female,4,2018,2091215
Female,5,2018,2231596
Female,6,2018,2968698
Female,7,2018,3756310
Female,0,2017,879500
Female,1,2017,981256
Female,2,2017,1193002
Female,3,2017,1540649
Female,4,2017,2064348
Female,5,2017,2171675
Female,6,2017,2922755
Female,7,2017,3591697
Female,0,2016,820285
Female,1,2016,911225
Female,2,2016,1111699
Female,3,2016,1412284
Female,4,2016,1938138
Female,5,2016,1938146
Female,6,2016,2677407
Female,7,2016,3492985
